kind	symbol	present	intro	note	detail
property	Control.offset_right	YYYYYY	4.2	sig-drift	4.2=int;4.3=int;4.4=float;4.5=float;4.6=float;4.7=float
property	Control.offset_top	YYYYYY	4.2	sig-drift	4.2=int;4.3=int;4.4=float;4.5=float;4.6=float;4.7=float
property	Control.offset_transform_enabled	-----Y	4.7	added-4.7	bool
property	Control.offset_transform_pivot	-----Y	4.7	added-4.7	Vector2
property	Control.offset_transform_pivot_ratio	-----Y	4.7	added-4.7	Vector2
property	Control.offset_transform_position	-----Y	4.7	added-4.7	Vector2
property	Control.offset_transform_position_ratio	-----Y	4.7	added-4.7	Vector2
property	Control.offset_transform_rotation	-----Y	4.7	added-4.7	float
property	Control.offset_transform_scale	-----Y	4.7	added-4.7	Vector2
property	Control.offset_transform_visual_only	-----Y	4.7	added-4.7	bool
property	Control.pivot_offset_ratio	----YY	4.6	added-4.6	Vector2
property	Control.propagate_maximum_size	-----Y	4.7	added-4.7	bool
method	Control.set_accessibility_controls_nodes	---YYY	4.5	added-4.5	void (node_path: typedarray::NodePath)
method	Control.set_accessibility_described_by_nodes	---YYY	4.5	added-4.5	void (node_path: typedarray::NodePath)
method	Control.set_accessibility_description	---YYY	4.5	added-4.5	void (description: String)
method	Control.set_accessibility_flow_to_nodes	---YYY	4.5	added-4.5	void (node_path: typedarray::NodePath)
method	Control.set_accessibility_labeled_by_nodes	---YYY	4.5	added-4.5	void (node_path: typedarray::NodePath)
method	Control.set_accessibility_live	---YYY	4.5	added-4.5+sig-drift+preserved	void (mode: enum::AccessibilityServer.AccessibilityLiveMode)
method	Control.set_accessibility_name	---YYY	4.5	added-4.5	void (name: String)
method	Control.set_custom_maximum_size	-----Y	4.7	added-4.7	void (size: Vector2)
method	Control.set_focus_behavior_recursive	---YYY	4.5	added-4.5	void (focus_behavior_recursive: enum::Control.FocusBehaviorRecursive)
method	Control.set_mouse_behavior_recursive	---YYY	4.5	added-4.5	void (mouse_behavior_recursive: enum::Control.MouseBehaviorRecursive)
method	Control.set_offset_transform_enabled	-----Y	4.7	added-4.7	void (enabled: bool)
method	Control.set_offset_transform_pivot	-----Y	4.7	added-4.7	void (pivot: Vector2)
method	Control.set_offset_transform_pivot_ratio	-----Y	4.7	added-4.7	void (pivot: Vector2)
method	Control.set_offset_transform_position	-----Y	4.7	added-4.7	void (offset: Vector2)
method	Control.set_offset_transform_position_ratio	-----Y	4.7	added-4.7	void (offset: Vector2)
method	Control.set_offset_transform_rotation	-----Y	4.7	added-4.7	void (rotation: float)
method	Control.set_offset_transform_scale	-----Y	4.7	added-4.7	void (scale: Vector2)
method	Control.set_offset_transform_visual_only	-----Y	4.7	added-4.7	void (enabled: bool)
method	Control.set_pivot_offset_ratio	----YY	4.6	added-4.6	void (ratio: Vector2)
method	Control.set_propagate_maximum_size	-----Y	4.7	added-4.7	void (enable: bool)
method	Control.set_tooltip_auto_translate_mode	--YYYY	4.4	added-4.4	void (mode: enum::Node.AutoTranslateMode)
method	Control.set_translation_context	-----Y	4.7	added-4.7	void (context: StringName)
property	Control.tooltip_auto_translate_mode	--YYYY	4.4	added-4.4	int
property	Control.translation_context	-----Y	4.7	added-4.7	StringName
method	Control.update_maximum_size	-----Y	4.7	added-4.7	void ()
signal	Curve.domain_changed	--YYYY	4.4	added-4.4	
method	Curve.get_domain_range	--YYYY	4.4	added-4.4	const float ()
method	Curve.get_max_domain	--YYYY	4.4	added-4.4	const float ()
method	Curve.get_min_domain	--YYYY	4.4	added-4.4	const float ()
method	Curve.get_value_range	--YYYY	4.4	added-4.4	const float ()
property	Curve.max_domain	--YYYY	4.4	added-4.4	float
property	Curve.min_domain	--YYYY	4.4	added-4.4	float
method	Curve.set_max_domain	--YYYY	4.4	added-4.4	void (max: float)
method	Curve.set_min_domain	--YYYY	4.4	added-4.4	void (min: float)
property	Curve3D.closed	--YYYY	4.4	added-4.4	bool
method	Curve3D.is_closed	--YYYY	4.4	added-4.4	const bool ()
method	Curve3D.set_closed	--YYYY	4.4	added-4.4	void (closed: bool)
property	DPITexture.fix_alpha_border	-----Y	4.7	added-4.7	bool
method	DPITexture.get_fix_alpha_border	-----Y	4.7	added-4.7	const bool ()
method	DPITexture.get_premult_alpha	-----Y	4.7	added-4.7	const bool ()
property	DPITexture.premult_alpha	-----Y	4.7	added-4.7	bool
method	DPITexture.set_fix_alpha_border	-----Y	4.7	added-4.7	void (fix_alpha_border: bool)
method	DPITexture.set_premult_alpha	-----Y	4.7	added-4.7	void (premult_alpha: bool)
property	Decal.texture_albedo	YYYYYY	4.2	sig-drift	4.2=Texture2D;4.3=Texture2D;4.4=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.5=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.6=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.7=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture
property	Decal.texture_emission	YYYYYY	4.2	sig-drift	4.2=Texture2D;4.3=Texture2D;4.4=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.5=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.6=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.7=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture
property	Decal.texture_normal	YYYYYY	4.2	sig-drift	4.2=Texture2D;4.3=Texture2D;4.4=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.5=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.6=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.7=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture
property	Decal.texture_orm	YYYYYY	4.2	sig-drift	4.2=Texture2D;4.3=Texture2D;4.4=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.5=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.6=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture;4.7=Texture2D,-AnimatedTexture,-AtlasTexture,-CameraTexture,-CanvasTexture,-MeshTexture,-Texture2DRD,-ViewportTexture
method	DirAccess.create_link	-YYYYY	4.3	added-4.3	enum::Error (source: String, target: String)
method	DirAccess.create_temp	--YYYY	4.4	added-4.4	static DirAccess (prefix: String = "", keep: bool = false)
method	DirAccess.get_drive_label	-----Y	4.7	added-4.7	static String (idx: int)
method	DirAccess.get_filesystem_type	---YYY	4.5	added-4.5	const String ()
method	DirAccess.is_bundle	--YYYY	4.4	added-4.4	const bool (path: String)
method	DirAccess.is_equivalent	---YYY	4.5	added-4.5	const bool (path_a: String, path_b: String)
method	DirAccess.is_link	-YYYYY	4.3	added-4.3	bool (path: String)
method	DirAccess.list_dir_begin	YYYYYY	4.2	sig-drift+preserved	enum::Error ()
method	DirAccess.read_link	-YYYYY	4.3	added-4.3	String (path: String)
enum	DisplayServer.AccessibilityAction	---YYY	4.5	added-4.5	
enum	DisplayServer.AccessibilityFlags	---YYY	4.5	added-4.5	
enum	DisplayServer.AccessibilityLiveMode	---YYY	4.5	added-4.5	
enum	DisplayServer.AccessibilityPopupType	---YYY	4.5	added-4.5	
enum	DisplayServer.AccessibilityRole	---YYY	4.5	added-4.5+sig-drift	
enum	DisplayServer.AccessibilityScrollHint	---YYY	4.5	added-4.5	
